Topic: http://dbpedia.org/resource/Category:Carrier-based_aircraft | Category: Aircraft | Count: 35 | Popularity: 15.9692
Topic: http://dbpedia.org/resource/Category:Turboprop_aircraft | Category: Aircraft | Count: 18 | Popularity: 15.751
Topic: http://dbpedia.org/resource/Category:Twin-engined_tractor_aircraft | Category: Aircraft | Count: 28 | Popularity: 15.2558
Topic: http://dbpedia.org/resource/Category:Trijets | Category: Aircraft | Count: 8 | Popularity: 14.9155
Topic: http://dbpedia.org/resource/Category:Single-engined_jet_aircraft | Category: Aircraft | Count: 42 | Popularity: 14.7409
Topic: http://dbpedia.org/resource/Category:Mikoyan_aircraft | Category: Aircraft | Count: 9 | Popularity: 14.6855
Topic: http://dbpedia.org/resource/Category:Air_Transport_Association_members | Category: Airline | Count: 13 | Popularity: 30.1405
Topic: http://dbpedia.org/resource/Category:Companies_that_have_filed_for_Chapter_11_bankruptcy | Category: Airline | Count: 9 | Popularity: 29.4883
Topic: http://dbpedia.org/resource/Category:Airlines_of_the_United_States | Category: Airline | Count: 17 | Popularity: 23.7584
Topic: http://dbpedia.org/resource/Category:Star_Alliance | Category: Airline | Count: 26 | Popularity: 19.8932
Topic: http://dbpedia.org/resource/Category:SkyTeam | Category: Airline | Count: 20 | Popularity: 19.0013
Topic: http://dbpedia.org/resource/Category:Association_of_European_Airlines_members | Category: Airline | Count: 27 | Popularity: 17.923
Topic: http://dbpedia.org/resource/Category:Association_of_Asia_Pacific_Airlines | Category: Airline | Count: 13 | Popularity: 17.0639
Topic: http://dbpedia.org/resource/Category:Defunct_airlines_of_the_United_States | Category: Airline | Count: 9 | Popularity: 16.835
Topic: http://dbpedia.org/resource/Category:IATA_members | Category: Airline | Count: 115 | Popularity: 15.2184
Topic: http://dbpedia.org/resource/Category:European_Low_Fares_Airline_Association | Category: Airline | Count: 8 | Popularity: 15.1366
Topic: http://dbpedia.org/resource/Category:Former_IATA_members | Category: Airline | Count: 14 | Popularity: 14.5822
Topic: http://dbpedia.org/resource/Category:Low-cost_airlines | Category: Airline | Count: 28 | Popularity: 11.3233
Topic: http://dbpedia.org/resource/Category:Government-owned_airlines | Category: Airline | Count: 44 | Popularity: 11.2814
Topic: http://dbpedia.org/resource/Category:Airlines_of_China | Category: Airline | Count: 9 | Popularity: 11.1439
Topic: http://dbpedia.org/resource/Category:Arab_Air_Carriers_Organization_members | Category: Airline | Count: 12 | Popularity: 10.9594
Topic: http://dbpedia.org/resource/Category:Latin_American_and_Caribbean_Air_Transport_Association | Category: Airline | Count: 11 | Popularity: 10.1984
Topic: http://dbpedia.org/resource/Category:Cargo_airlines | Category: Airline | Count: 8 | Popularity: 9.29718
Topic: http://dbpedia.org/resource/Category:African_Airlines_Association | Category: Airline | Count: 9 | Popularity: 8.6639
Topic: http://dbpedia.org/resource/Category:Airports_in_the_London_region | Category: Airport | Count: 8 | Popularity: 25.591
Topic: http://dbpedia.org/resource/Category:Airfields_of_the_United_States_Army_Air_Forces_Air_Transport_Command_in_North_America | Category: Airport | Count: 15 | Popularity: 16.1936
Topic: http://dbpedia.org/resource/Category:Airports_in_Germany | Category: Airport | Count: 11 | Popularity: 15.4086
Topic: http://dbpedia.org/resource/Category:Canadian_airports_with_United_States_border_preclearance | Category: Airport | Count: 8 | Popularity: 15.3078
Topic: http://dbpedia.org/resource/Category:Airfields_of_the_United_States_Army_Air_Forces_in_California | Category: Airport | Count: 11 | Popularity: 14.9623
Topic: http://dbpedia.org/resource/Category:National_Airports_System | Category: Airport | Count: 10 | Popularity: 13.7778
Topic: http://dbpedia.org/resource/Category:Airports_established_in_1928 | Category: Airport | Count: 10 | Popularity: 13.0554
